filename,filepath,resolution,phash,manual_review,product_name,brands,categories,image_url,source,licence
6784005228563.jpg,data\raw\packaging\6784005228563.jpg,3072x4096,ea554e6c986894be,,,,en:chips-and-fries,https://images.openfoodfacts.org/images/products/678/400/522/8563/front_en.3.full.jpg,open_food_facts,CC-BY-SA
6900090572132.jpg,data\raw\packaging\6900090572132.jpg,3072x4096,8afa7a4fda65e400,,,,en:chips-and-fries,https://images.openfoodfacts.org/images/products/690/009/057/2132/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8429417241714.jpg,data\raw\packaging\8429417241714.jpg,3468x4624,85925aa70f6f0cd6,,,,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/842/941/724/1714/front_es.5.full.jpg,open_food_facts,CC-BY-SA
8886467100277.jpg,data\raw\packaging\8886467100277.jpg,461x1200,9c16261c66369cf7,,Pringles - Original,Pringles,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:stacked-extruded-potato-crisps,https://images.openfoodfacts.org/images/products/888/646/710/0277/front_en.17.full.jpg,open_food_facts,CC-BY-SA
8886467122392.jpg,data\raw\packaging\8886467122392.jpg,1372x2560,bd5b23ce40435997,,PRINGLES ( ORIGINAL ),"Pringles, Kellanova",en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:stacked-extruded-potato-crisps,https://images.openfoodfacts.org/images/products/888/646/712/2392/front_en.26.full.jpg,open_food_facts,CC-BY-SA
8886467122408.jpg,data\raw\packaging\8886467122408.jpg,348x1200,e5b5d4c6a406363b,,Potato chips,Pringles,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:stacked-extruded-potato-crisps;en:Different flavours,https://images.openfoodfacts.org/images/products/888/646/712/2408/front_en.10.full.jpg,open_food_facts,CC-BY-SA
8886467122415.jpg,data\raw\packaging\8886467122415.jpg,1616x4542,b511c78f96063373,,Pringles,Pringles,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:stacked-extruded-potato-crisps,https://images.openfoodfacts.org/images/products/888/646/712/2415/front_en.21.full.jpg,open_food_facts,CC-BY-SA
8886467122422.jpg,data\raw\packaging\8886467122422.jpg,1240x3135,93d14f84367ae8c9,,Fusion Chutney Flavour,"Kellogg's, Pringles",en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/888/646/712/2422/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8886467122439.jpg,data\raw\packaging\8886467122439.jpg,1144x3889,94e3b09ea6b07e68,,Pringles Desi Masala Tadka Flavour,Pringles,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:stacked-extruded-potato-crisps,https://images.openfoodfacts.org/images/products/888/646/712/2439/front_en.3.full.jpg,open_food_facts,CC-BY-SA
8886467122446.jpg,data\raw\packaging\8886467122446.jpg,349x1200,99a2621f6c58b5f4,,Pringles - South African Style Periperi Flavour,Pringles,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:stacked-extruded-potato-crisps,https://images.openfoodfacts.org/images/products/888/646/712/2446/front_en.18.full.jpg,open_food_facts,CC-BY-SA
